receipt_number,status,status_date,status_type,scraped_at
IOE0929281589,Case Was Received,2024-12-26,case_received,2025-12-07 15:22:08
IOE0929281589,Interview Cancelled,2025-07-17,interview_cancelled,2025-12-07 14:22:16
IOE0929281848,Case Was Received,2024-12-26,case_received,2025-12-11 12:33:24
IOE0929281848,Interview Cancelled,2025-06-11,interview_cancelled,2025-12-07 15:22:08
IOE0929281848,Card Was Produced,2025-11-13,last_status,2025-12-07 14:22:16
IOE0929609537,Case Was Received,2025-01-17,case_received,2025-12-07 14:22:16
IOE0929609537,Interview Cancelled,2025-07-25,interview_cancelled,2025-12-07 14:22:16
IOE0929609629,Case Was Received,2025-01-17,case_received,2025-12-07 14:22:16
IOE0929609629,Interview Cancelled,2025-05-06,interview_cancelled,2025-12-07 15:22:08
IOE0929723419,Case Was Received,2025-01-24,case_received,2025-12-07 14:22:16
IOE0929723419,Interview Cancelled,2025-06-09,interview_cancelled,2025-12-07 14:22:16
IOE0929747134,Case Was Received,2025-01-24,case_received,2025-12-07 14:22:16
IOE0929747134,Interview Cancelled,2025-06-16,interview_cancelled,2025-12-07 14:22:16
IOE0929795537,Case Was Received,2025-01-02,case_received,2025-12-07 14:22:16
IOE0929795537,Interview Cancelled,2025-06-10,interview_cancelled,2025-12-07 15:22:08
IOE0929795537,Case Is Being Actively Reviewed By USCIS,2025-12-08,last_status,2025-12-11 08:13:03
IOE0929795540,Interview Cancelled,2025-06-10,interview_cancelled,2025-12-07 15:22:08
IOE0929795540,Interview Was Scheduled,2025-10-22,case_received,2025-12-11 08:13:03
IOE0929795540,Case Is Being Actively Reviewed By USCIS,2025-12-08,last_status,2025-12-09 08:54:35
IOE0929799140,Case Was Received,2025-01-14,case_received,2025-12-07 14:22:16
IOE0929799140,Interview Cancelled,2025-06-11,interview_cancelled,2025-12-07 15:22:08
IOE0929799142,Case Was Received,2025-01-14,case_received,2025-12-07 14:22:16
IOE0929799142,Interview Cancelled,2025-06-11,interview_cancelled,2025-12-07 14:22:16
IOE0929898391,Case Was Received,2025-02-03,case_received,2025-12-07 14:22:16
IOE0929898391,Interview Cancelled,2025-07-07,interview_cancelled,2025-12-07 14:22:16
IOE0930073132,Case Was Received,2025-01-31,case_received,2025-12-07 14:22:16
IOE0930073132,Interview Cancelled,2025-07-24,interview_cancelled,2025-12-07 14:22:16
IOE0930073134,Case Was Received,2025-01-31,case_received,2025-12-07 14:22:16
IOE0930073134,Interview Cancelled,2025-07-24,interview_cancelled,2025-12-07 14:22:16
IOE0930100163,Case Was Received,2025-01-30,case_received,2025-12-07 14:22:16
IOE0930100163,Interview Cancelled,2025-06-16,interview_cancelled,2025-12-07 14:22:16
IOE0930166668,Case Was Received,2025-02-04,case_received,2025-12-07 14:22:16
IOE0930166668,Interview Cancelled,2025-07-25,interview_cancelled,2025-12-07 14:22:16
IOE0930172248,Case Was Received,2025-02-14,case_received,2025-12-07 14:22:16
IOE0930172248,Interview Cancelled,2025-07-25,interview_cancelled,2025-12-07 14:22:16
IOE0930172292,Case Was Received,2025-02-14,case_received,2025-12-07 14:22:16
IOE0930172292,Interview Cancelled,2025-06-18,interview_cancelled,2025-12-07 15:22:08
IOE0930172292,Case Is Being Actively Reviewed By USCIS,2025-10-28,last_status,2025-12-07 15:22:08
IOE0930172477,Case Was Received,2025-02-14,case_received,2025-12-07 14:22:16
IOE0930172477,Interview Cancelled,2025-07-27,interview_cancelled,2025-12-07 15:22:08
IOE0930216849,Case Was Received,2025-02-14,case_received,2025-12-07 14:22:16
IOE0930216849,Interview Cancelled,2025-05-06,interview_cancelled,2025-12-07 14:22:16
IOE0930272366,Case Was Received,2025-02-20,case_received,2025-12-07 14:22:16
IOE0930272366,Interview Cancelled,2025-05-21,interview_cancelled,2025-12-07 14:22:16
IOE0930278046,Case Was Received,2025-02-20,case_received,2025-12-07 14:22:16
IOE0930278046,Interview Cancelled,2025-07-25,interview_cancelled,2025-12-07 14:22:16
IOE0930290127,Card Was Produced,2025-12-03,last_status,2025-12-07 14:22:16
IOE0930290127,Card Was Produced,2025-12-03,case_received,2025-12-11 12:33:24
IOE0930290241,Case Was Received,2025-02-21,case_received,2025-12-07 14:22:16
IOE0930290241,Interview Cancelled,2025-06-06,interview_cancelled,2025-12-07 14:22:16
IOE0930327767,Case Was Received,2025-02-21,case_received,2025-12-07 14:22:16
IOE0930327767,Interview Cancelled,2025-07-10,interview_cancelled,2025-12-07 14:22:16
IOE0930333403,Case Was Received,2025-02-24,case_received,2025-12-07 14:22:16
IOE0930333403,Interview Cancelled,2025-05-16,interview_cancelled,2025-12-07 14:22:16
IOE0930336883,Case Was Received,2025-02-24,case_received,2025-12-07 14:22:16
IOE0930336883,Interview Cancelled,2025-07-24,interview_cancelled,2025-12-07 14:22:16
IOE0930353777,Case Was Received,2025-02-24,case_received,2025-12-07 14:22:16
IOE0930353777,Interview Cancelled,2025-07-17,interview_cancelled,2025-12-07 14:22:16
IOE0930411727,Case Was Received,2025-02-27,case_received,2025-12-07 14:22:16
IOE0930411727,Interview Cancelled,2025-06-26,interview_cancelled,2025-12-07 14:22:16
IOE0930411999,Case Was Received,2025-02-27,case_received,2025-12-07 14:22:16
IOE0930411999,Interview Cancelled,2025-06-19,interview_cancelled,2025-12-07 15:22:08
IOE0930435337,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930435337,Interview Cancelled,2025-07-25,interview_cancelled,2025-12-07 14:22:16
IOE0930435936,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930435936,Interview Cancelled,2025-06-08,interview_cancelled,2025-12-07 14:22:16
IOE0930436131,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930436131,Interview Cancelled,2025-07-08,interview_cancelled,2025-12-07 14:22:16
IOE0930436576,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930436576,Interview Cancelled,2025-07-31,interview_cancelled,2025-12-07 14:22:16
IOE0930561527,Case Was Received,2025-03-06,case_received,2025-12-07 14:22:16
IOE0930561527,Interview Cancelled,2025-06-27,interview_cancelled,2025-12-07 15:22:08
IOE0930561527,Interview Cancelled,2025-12-04,last_status,2025-12-08 15:07:55
IOE0930592053,Case Was Received,2025-03-07,case_received,2025-12-07 14:22:16
IOE0930592053,Interview Cancelled,2025-07-09,interview_cancelled,2025-12-07 15:22:08
IOE0930668358,Case Was Received,2025-03-11,case_received,2025-12-07 14:22:16
IOE0930668358,Interview Cancelled,2025-07-29,interview_cancelled,2025-12-07 15:22:08
IOE0930668757,Case Was Received,2025-02-25,case_received,2025-12-07 14:22:16
IOE0930668757,Interview Cancelled,2025-05-20,interview_cancelled,2025-12-07 15:22:08
IOE0930668760,Case Was Received,2025-02-25,case_received,2025-12-07 14:22:16
IOE0930668760,Interview Cancelled,2025-07-22,interview_cancelled,2025-12-07 15:22:08
IOE0930668763,Case Was Received,2025-02-25,case_received,2025-12-07 14:22:16
IOE0930668763,Interview Cancelled,2025-07-22,interview_cancelled,2025-12-07 15:22:08
IOE0930668765,Case Was Received,2025-02-25,case_received,2025-12-07 14:22:16
IOE0930668765,Interview Cancelled,2025-07-22,interview_cancelled,2025-12-07 15:22:08
IOE0930668850,Case Was Received,2025-03-11,case_received,2025-12-07 14:22:16
IOE0930668850,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
IOE0930668851,Case Was Received,2025-03-11,case_received,2025-12-07 14:22:16
IOE0930668851,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
IOE0930669180,Case Was Received,2025-02-27,case_received,2025-12-07 14:22:16
IOE0930669180,Interview Cancelled,2025-05-27,interview_cancelled,2025-12-07 14:22:16
IOE0930669352,Case Was Received,2025-02-24,case_received,2025-12-07 14:22:16
IOE0930669352,Interview Cancelled,2025-07-01,interview_cancelled,2025-12-07 15:22:08
IOE0930669352,Card Was Produced,2025-10-08,last_status,2025-12-07 15:22:08
IOE0930674254,Case Was Received,2025-02-24,case_received,2025-12-07 14:22:16
IOE0930674254,Interview Cancelled,2025-05-09,interview_cancelled,2025-12-07 15:22:08
IOE0930674469,Case Was Received,2025-02-24,case_received,2025-12-07 14:22:16
IOE0930674469,Interview Cancelled,2025-07-23,interview_cancelled,2025-12-07 14:22:16
IOE0930674883,Interview Was Scheduled,2025-06-18,case_received,2025-12-11 12:33:24
IOE0930674883,Interview Cancelled,2025-07-25,interview_cancelled,2025-12-07 14:22:16
IOE0930681838,Case Was Received,2025-03-12,case_received,2025-12-07 14:22:16
IOE0930681838,Interview Cancelled,2025-05-14,interview_cancelled,2025-12-07 15:22:08
IOE0930681861,Case Was Received,2025-03-12,case_received,2025-12-07 14:22:16
IOE0930681861,Interview Cancelled,2025-07-16,interview_cancelled,2025-12-07 15:22:08
IOE0930682052,Case Was Received,2025-03-12,case_received,2025-12-07 14:22:16
IOE0930682052,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 14:22:16
IOE0930682054,Case Was Received,2025-03-12,case_received,2025-12-07 14:22:16
IOE0930682054,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
IOE0930682113,Case Was Received,2025-03-12,case_received,2025-12-07 14:22:16
IOE0930682113,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
IOE0930682115,Case Was Received,2025-03-12,case_received,2025-12-07 14:22:16
IOE0930682115,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
IOE0930684555,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930684555,Interview Cancelled,2025-05-27,interview_cancelled,2025-12-07 15:22:08
IOE0930684570,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930684570,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
IOE0930684572,Case Was Received,2025-02-28,case_received,2025-12-07 14:22:16
IOE0930684572,Interview Cancelled,2025-06-30,interview_cancelled,2025-12-07 15:22:08
